,Fiscal Year,US Category Name,Constant Dollar Amount
516,2002,Health,1976439311
517,2002,Humanitarian Assistance,2342967936
518,2002,Multi-sector,3657491372
519,2002,Peace and Security,16540316758
520,2002,Program Support,746746992
521,2003,"Democracy, Human Rights, and Governance",10371901207
522,2003,Economic Development,7467469665
523,2003,Education and Social Services,2063918048
524,2003,Environment,352714305
525,2003,Health,2847957401
526,2003,Humanitarian Assistance,6317192676
527,2003,Multi-sector,2044390753
528,2003,Peace and Security,23297770805
529,2003,Program Support,772197766
530,2004,"Democracy, Human Rights, and Governance",5597508676
531,2004,Economic Development,12655053769
532,2004,Education and Social Services,1522234395
533,2004,Environment,365816598
534,2004,Health,5659601713
535,2004,Humanitarian Assistance,3509827949
536,2004,Multi-sector,8885857923
537,2004,Peace and Security,20468801781
538,2004,Program Support,947440858
539,2005,"Democracy, Human Rights, and Governance",6487918863
540,2005,Economic Development,7826956719
541,2005,Education and Social Services,1539513956
542,2005,Environment,365963818
543,2005,Health,7384916704
544,2005,Humanitarian Assistance,4297049372
545,2005,Multi-sector,4592347551
546,2005,Peace and Security,23147002321
547,2005,Program Support,1184502758
548,2006,"Democracy, Human Rights, and Governance",2661509587
549,2006,Economic Development,7442315058
550,2006,Education and Social Services,1496157114
551,2006,Environment,310849933
552,2006,Health,5620818190
553,2006,Humanitarian Assistance,3531942032
554,2006,Multi-sector,4045758994
555,2006,Peace and Security,36859439039
556,2006,Program Support,1221036130
557,2007,"Democracy, Human Rights, and Governance",3828388070
558,2007,Economic Development,6895378332
559,2007,Education and Social Services,1807856621
560,2007,Environment,293417663
561,2007,Health,5944904273
562,2007,Humanitarian Assistance,3876847948
563,2007,Multi-sector,5043315640
564,2007,Peace and Security,39120406008
565,2007,Program Support,1537499669
566,2008,"Democracy, Human Rights, and Governance",5133972313
567,2008,Economic Development,6439418906
568,2008,Education and Social Services,3327914796
569,2008,Environment,366664096
570,2008,Health,8429556782
571,2008,Humanitarian Assistance,4955413687
572,2008,Multi-sector,4108041167
573,2008,Peace and Security,46609221462
574,2008,Program Support,1764610490
575,2009,"Democracy, Human Rights, and Governance",4759407677
576,2009,Economic Development,5395432392
577,2009,Education and Social Services,2332401604
578,2009,Environment,384039878
579,2009,Health,7289173140
580,2009,Humanitarian Assistance,5183782241
581,2009,Multi-sector,5367182375
582,2009,Peace and Security,45400855659
583,2009,Program Support,1517498215
584,2010,"Democracy, Human Rights, and Governance",5272861705
585,2010,Economic Development,5249378043
586,2010,Education and Social Services,2338876477
587,2010,Environment,1480095719
588,2010,Health,7288395551
589,2010,Humanitarian Assistance,7420920827
590,2010,Multi-sector,5290220862
591,2010,Peace and Security,39370118222
592,2010,Program Support,1729439021
593,2011,"Democracy, Human Rights, and Governance",4375027752
594,2011,Economic Development,5316531943
595,2011,Education and Social Services,1965920960
596,2011,Environment,1253395493
597,2011,Health,7619388276
598,2011,Humanitarian Assistance,5442896648
599,2011,Multi-sector,5338244225
600,2011,Peace and Security,47457492202
601,2011,Program Support,1697843899
602,2012,"Democracy, Human Rights, and Governance",5465259378
603,2012,Economic Development,4451744458
604,2012,Education and Social Services,1384656631
605,2012,Environment,1091029077
606,2012,Health,7503782652
607,2012,Humanitarian Assistance,5413101854
608,2012,Multi-sector,6901232240
609,2012,Peace and Security,42357860205
610,2012,Program Support,1813748175
611,2013,"Democracy, Human Rights, and Governance",3515439146
612,2013,Economic Development,4330006356
613,2013,Education and Social Services,1946730079
614,2013,Environment,1104312462
615,2013,Health,8651483507
616,2013,Humanitarian Assistance,6024803942
617,2013,Multi-sector,6528062126
618,2013,Peace and Security,36817144253
619,2013,Program Support,1877549148
620,2014,"Democracy, Human Rights, and Governance",4558767529
621,2014,Economic Development,2283307604
622,2014,Education and Social Services,1166485287
623,2014,Environment,498132965
624,2014,Health,7341407168
625,2014,Humanitarian Assistance,8130694557
626,2014,Multi-sector,7978036879
627,2014,Peace and Security,27585173243
628,2014,Program Support,1841216788
629,2015,"Democracy, Human Rights, and Governance",4557365810
630,2015,Economic Development,2926885065
631,2015,Education and Social Services,1483807384
632,2015,Environment,588782181
633,2015,Health,7314035604
634,2015,Humanitarian Assistance,9458566697
635,2015,Multi-sector,7749685668
636,2015,Peace and Security,36039334758
637,2015,Program Support,2119664883
638,2016,"Democracy, Human Rights, and Governance",1870308792
639,2016,Economic Development,3727846099
640,2016,Education and Social Services,1194355052
641,2016,Environment,1632660307
642,2016,Health,10174396697
643,2016,Humanitarian Assistance,9020175524
