,FREQ,INDICATOR,GEO_PICT,SEX,AGE,URBANIZATION,INCOME,EDUCATION,OCCUPATION,COMPOSITE_BREAKDOWN,DISABILITY,TIME_PERIOD,value
232,A,EG_FEC_RNEW,PG,_T,_T,_T,_T,_T,_T,_Z,_T,2022,50.78
233,A,EG_FEC_RNEW,PW,_T,_T,_T,_T,_T,_T,_Z,_T,2000,0.0
234,A,EG_FEC_RNEW,PW,_T,_T,_T,_T,_T,_T,_Z,_T,2001,0.0
235,A,EG_FEC_RNEW,PW,_T,_T,_T,_T,_T,_T,_Z,_T,2002,0.0
236,A,EG_FEC_RNEW,PW,_T,_T,_T,_T,_T,_T,_Z,_T,2003,0.0
237,A,EG_FEC_RNEW,PW,_T,_T,_T,_T,_T,_T,_Z,_T,2004,0.0
238,A,EG_FEC_RNEW,PW,_T,_T,_T,_T,_T,_T,_Z,_T,2005,0.0
239,A,EG_FEC_RNEW,PW,_T,_T,_T,_T,_T,_T,_Z,_T,2006,0.0
240,A,EG_FEC_RNEW,PW,_T,_T,_T,_T,_T,_T,_Z,_T,2007,0.0
241,A,EG_FEC_RNEW,PW,_T,_T,_T,_T,_T,_T,_Z,_T,2008,0.0
242,A,EG_FEC_RNEW,PW,_T,_T,_T,_T,_T,_T,_Z,_T,2009,0.0
243,A,EG_FEC_RNEW,PW,_T,_T,_T,_T,_T,_T,_Z,_T,2010,0.0
244,A,EG_FEC_RNEW,PW,_T,_T,_T,_T,_T,_T,_Z,_T,2011,0.0
245,A,EG_FEC_RNEW,PW,_T,_T,_T,_T,_T,_T,_Z,_T,2012,0.0
246,A,EG_FEC_RNEW,PW,_T,_T,_T,_T,_T,_T,_Z,_T,2013,0.0
247,A,EG_FEC_RNEW,PW,_T,_T,_T,_T,_T,_T,_Z,_T,2014,0.27
248,A,EG_FEC_RNEW,PW,_T,_T,_T,_T,_T,_T,_Z,_T,2015,0.37
249,A,EG_FEC_RNEW,PW,_T,_T,_T,_T,_T,_T,_Z,_T,2016,0.57
250,A,EG_FEC_RNEW,PW,_T,_T,_T,_T,_T,_T,_Z,_T,2017,0.56
251,A,EG_FEC_RNEW,PW,_T,_T,_T,_T,_T,_T,_Z,_T,2018,0.59
252,A,EG_FEC_RNEW,PW,_T,_T,_T,_T,_T,_T,_Z,_T,2019,0.56
253,A,EG_FEC_RNEW,PW,_T,_T,_T,_T,_T,_T,_Z,_T,2020,0.58
254,A,EG_FEC_RNEW,PW,_T,_T,_T,_T,_T,_T,_Z,_T,2021,0.58
255,A,EG_FEC_RNEW,PW,_T,_T,_T,_T,_T,_T,_Z,_T,2022,0.58
256,A,EG_FEC_RNEW,SB,_T,_T,_T,_T,_T,_T,_Z,_T,2000,55.26
257,A,EG_FEC_RNEW,SB,_T,_T,_T,_T,_T,_T,_Z,_T,2001,54.14
258,A,EG_FEC_RNEW,SB,_T,_T,_T,_T,_T,_T,_Z,_T,2002,52.82
259,A,EG_FEC_RNEW,SB,_T,_T,_T,_T,_T,_T,_Z,_T,2003,51.46
260,A,EG_FEC_RNEW,SB,_T,_T,_T,_T,_T,_T,_Z,_T,2004,49.91
261,A,EG_FEC_RNEW,SB,_T,_T,_T,_T,_T,_T,_Z,_T,2005,49.7
262,A,EG_FEC_RNEW,SB,_T,_T,_T,_T,_T,_T,_Z,_T,2006,48.93
263,A,EG_FEC_RNEW,SB,_T,_T,_T,_T,_T,_T,_Z,_T,2007,47.42
264,A,EG_FEC_RNEW,SB,_T,_T,_T,_T,_T,_T,_Z,_T,2008,46.69
265,A,EG_FEC_RNEW,SB,_T,_T,_T,_T,_T,_T,_Z,_T,2009,45.79
