Country Name,Indicator Name,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,income_level,trend,slope,r_value,p_value,percent_change
"Egypt, Arab Rep.","Maternal mortality ratio (modeled estimate, per 100,000 live births)",79.0,76.0,73.0,66.0,63.0,58.0,53.0,48.0,44.0,40.0,38.0,34.0,31.0,28.0,25.0,24.0,21.0,20.0,19.0,18.0,17.0,,,,Lower middle income,decreasing,-3.275324675324675,-0.980815719531248,5.921771709949614e-15,-78.48101265822784
El Salvador,"Maternal mortality ratio (modeled estimate, per 100,000 live births)",49.0,47.0,39.0,39.0,35.0,35.0,36.0,37.0,34.0,36.0,36.0,37.0,38.0,39.0,41.0,44.0,42.0,45.0,45.0,39.0,43.0,,,,Lower middle income,increasing,0.10389610389610393,0.15003458226815752,0.5162513498410348,-12.244897959183673
Equatorial Guinea,"Maternal mortality ratio (modeled estimate, per 100,000 live births)",427.0,390.0,351.0,317.0,286.0,258.0,241.0,234.0,231.0,230.0,211.0,194.0,179.0,187.0,207.0,201.0,182.0,197.0,219.0,216.0,212.0,,,,Upper middle income,decreasing,-9.01038961038961,-0.8041060677188564,1.1207816802378383e-05,-50.35128805620609
Eritrea,"Maternal mortality ratio (modeled estimate, per 100,000 live births)",735.0,654.0,643.0,619.0,575.0,546.0,522.0,521.0,529.0,481.0,480.0,454.0,422.0,420.0,398.0,399.0,389.0,359.0,338.0,332.0,322.0,,,,Low income,decreasing,-18.414285714285718,-0.9813076813179529,4.635510899883249e-15,-56.19047619047619
Estonia,"Maternal mortality ratio (modeled estimate, per 100,000 live births)",25.0,22.0,20.0,19.0,15.0,13.0,11.0,11.0,10.0,9.0,8.0,8.0,8.0,7.0,7.0,6.0,6.0,6.0,5.0,5.0,5.0,,,,High income,decreasing,-0.8909090909090909,-0.9163679387335261,5.457618024488285e-09,-80.0
Eswatini,"Maternal mortality ratio (modeled estimate, per 100,000 live births)",588.0,600.0,607.0,660.0,663.0,678.0,644.0,664.0,691.0,783.0,672.0,627.0,599.0,512.0,426.0,338.0,275.0,237.0,218.0,228.0,240.0,,,,Lower middle income,decreasing,-24.151948051948057,-0.8033943002741284,1.1566187769421079e-05,-59.183673469387756
Ethiopia,"Maternal mortality ratio (modeled estimate, per 100,000 live births)",953.0,955.0,960.0,906.0,900.0,880.0,814.0,780.0,725.0,684.0,635.0,603.0,543.0,498.0,447.0,399.0,356.0,348.0,312.0,294.0,267.0,,,,Low income,decreasing,-39.38571428571429,-0.992867698884013,5.13321777744118e-19,-71.98321091290661
Faroe Islands,"Maternal mortality ratio (modeled estimate, per 100,000 live births)",,,,,,,,,,,,,,,,,,,,,,,,,High income,decreasing,,,,
Fiji,"Maternal mortality ratio (modeled estimate, per 100,000 live births)",49.0,47.0,49.0,48.0,46.0,45.0,44.0,44.0,43.0,42.0,42.0,39.0,39.0,39.0,38.0,39.0,40.0,37.0,37.0,38.0,38.0,,,,Upper middle income,decreasing,-0.6233766233766233,-0.9508524281357031,4.0084008438501935e-11,-22.448979591836736
Finland,"Maternal mortality ratio (modeled estimate, per 100,000 live births)",7.0,7.0,7.0,7.0,7.0,8.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,8.0,7.0,8.0,9.0,8.0,,,,High income,increasing,0.048051948051948054,0.5318376064828638,0.013085119205091263,14.285714285714285
