,latitude,longitude,ph_trend
585,-24.125,166.375,-0.0016316534
586,-24.125,166.625,-0.001634768
587,-24.125,166.875,-0.0016325758
588,-24.125,167.125,-0.0016291933
589,-24.125,167.375,-0.0016345137
590,-24.125,167.625,-0.0016203022
591,-24.125,167.875,-0.0016067378
592,-24.125,168.125,-0.0016116552
593,-24.125,168.375,-0.0015989976
594,-24.125,168.625,-0.0015974926
595,-24.125,168.875,-0.0016107227
596,-24.125,169.125,-0.0016111186
597,-24.125,169.375,-0.0016093911
598,-24.125,169.625,-0.0016138924
599,-24.125,169.875,-0.0016075955
600,-24.125,170.125,-0.0016068777
601,-24.125,170.375,-0.0016082488
602,-24.125,170.625,-0.001624153
603,-24.125,170.875,-0.0016348739
604,-24.125,171.125,-0.0016496368
605,-24.125,171.375,-0.0016534233
606,-24.125,171.625,-0.001650604
607,-24.125,171.875,-0.0016506677
608,-24.125,172.125,-0.0016534702
609,-24.125,172.375,-0.0016554098
610,-24.125,172.625,-0.001662032
611,-24.125,172.875,-0.0016534645
612,-24.125,173.125,-0.0016497908
613,-24.125,173.375,-0.0016416445
614,-24.125,173.625,-0.0016437148
615,-24.125,173.875,-0.0016405495
616,-24.125,174.125,-0.0016369406
617,-24.125,174.375,-0.0016446525
618,-24.125,174.625,-0.0016453164
619,-24.125,174.875,-0.0016505726
620,-24.125,175.125,-0.0016493254
621,-24.125,175.375,-0.0016435798
622,-24.125,175.625,-0.0016496117
623,-24.125,175.875,-0.00163918
624,-24.125,176.125,-0.0016394708
625,-24.125,176.375,-0.0016357068
626,-24.125,176.625,-0.001633522
627,-24.125,176.875,-0.0016259503
628,-24.125,177.125,-0.0016288861
629,-24.125,177.375,-0.0016242882
630,-24.125,177.625,-0.0016272137
631,-24.125,177.875,-0.0016304085
632,-24.125,178.125,-0.0016404408
633,-24.125,178.375,-0.0016394231
634,-24.125,178.625,-0.0016419492
635,-24.125,178.875,-0.0016537774
636,-24.125,179.125,-0.0016551516
637,-24.125,179.375,-0.0016635814
638,-24.125,179.625,-0.0016497687
639,-24.125,179.875,-0.0016430038
640,-23.875,140.125,
641,-23.875,140.375,
642,-23.875,140.625,
643,-23.875,140.875,
644,-23.875,141.125,
645,-23.875,141.375,
646,-23.875,141.625,
647,-23.875,141.875,
648,-23.875,142.125,
649,-23.875,142.375,
650,-23.875,142.625,
651,-23.875,142.875,
652,-23.875,143.125,
653,-23.875,143.375,
654,-23.875,143.625,
655,-23.875,143.875,
656,-23.875,144.125,
657,-23.875,144.375,
658,-23.875,144.625,
659,-23.875,144.875,
660,-23.875,145.125,
661,-23.875,145.375,
662,-23.875,145.625,
663,-23.875,145.875,
664,-23.875,146.125,
665,-23.875,146.375,
666,-23.875,146.625,
667,-23.875,146.875,
668,-23.875,147.125,
669,-23.875,147.375,
670,-23.875,147.625,
671,-23.875,147.875,
672,-23.875,148.125,
673,-23.875,148.375,
674,-23.875,148.625,
675,-23.875,148.875,
676,-23.875,149.125,
677,-23.875,149.375,
678,-23.875,149.625,
679,-23.875,149.875,
680,-23.875,150.125,
681,-23.875,150.375,
682,-23.875,150.625,
683,-23.875,150.875,
684,-23.875,151.125,
685,-23.875,151.375,
686,-23.875,151.625,
687,-23.875,151.875,
688,-23.875,152.125,-0.0015941206
689,-23.875,152.375,-0.0015271094
690,-23.875,152.625,-0.0015211395
691,-23.875,152.875,-0.0015213747
692,-23.875,153.125,-0.0015252637
693,-23.875,153.375,-0.0015056803
694,-23.875,153.625,-0.0015045423
695,-23.875,153.875,-0.0014960206
696,-23.875,154.125,-0.0015032557
697,-23.875,154.375,-0.0014924596
698,-23.875,154.625,-0.0014968364
699,-23.875,154.875,-0.0014996078
700,-23.875,155.125,-0.001503705
701,-23.875,155.375,-0.0015046732
702,-23.875,155.625,-0.0015134652
703,-23.875,155.875,-0.0015188014
704,-23.875,156.125,-0.0015216288
705,-23.875,156.375,-0.0015256712
706,-23.875,156.625,-0.0015338357
707,-23.875,156.875,-0.0015373967
708,-23.875,157.125,-0.0015298611
709,-23.875,157.375,-0.0015365226
710,-23.875,157.625,-0.0015452994
711,-23.875,157.875,-0.0015468044
712,-23.875,158.125,-0.001536978
713,-23.875,158.375,-0.0015489205
714,-23.875,158.625,-0.0015567667
715,-23.875,158.875,-0.0015640187
716,-23.875,159.125,-0.0015576592
717,-23.875,159.375,-0.0015695513
718,-23.875,159.625,-0.0015664829
719,-23.875,159.875,-0.0015745346
720,-23.875,160.125,-0.0015758644
721,-23.875,160.375,-0.0015861817
722,-23.875,160.625,-0.0015800329
723,-23.875,160.875,-0.0015938352
724,-23.875,161.125,-0.0015977866
725,-23.875,161.375,-0.0015980551
726,-23.875,161.625,-0.0015992258
727,-23.875,161.875,-0.001599138
728,-23.875,162.125,-0.0016003286
729,-23.875,162.375,-0.001607451
730,-23.875,162.625,-0.0016103094
731,-23.875,162.875,-0.0016059182
732,-23.875,163.125,-0.0016093786
733,-23.875,163.375,-0.0016111613
734,-23.875,163.625,-0.0016157741
735,-23.875,163.875,-0.0016171267
736,-23.875,164.125,-0.001620491
737,-23.875,164.375,-0.0016272607
738,-23.875,164.625,-0.0016258534
739,-23.875,164.875,-0.0016229608
740,-23.875,165.125,-0.0016258442
741,-23.875,165.375,-0.0016256617
742,-23.875,165.625,-0.0016370104
743,-23.875,165.875,-0.0016391074
744,-23.875,166.125,-0.0016336561
745,-23.875,166.375,-0.0016372488
746,-23.875,166.625,-0.0016395275
747,-23.875,166.875,-0.0016333614
748,-23.875,167.125,-0.0016264841
749,-23.875,167.375,-0.0016249716
750,-23.875,167.625,-0.0016071739
751,-23.875,167.875,-0.0016062127
752,-23.875,168.125,-0.0016019682
753,-23.875,168.375,-0.0016034488
754,-23.875,168.625,-0.0016045237
755,-23.875,168.875,-0.0016030533
756,-23.875,169.125,-0.0016009106
757,-23.875,169.375,-0.0016019105
758,-23.875,169.625,-0.0016039681
759,-23.875,169.875,-0.0015999087
760,-23.875,170.125,-0.0016031312
761,-23.875,170.375,-0.0016075372
762,-23.875,170.625,-0.0016175956
763,-23.875,170.875,-0.0016199121
764,-23.875,171.125,-0.0016387745
765,-23.875,171.375,-0.001642989
766,-23.875,171.625,-0.0016407383
767,-23.875,171.875,-0.0016442697
768,-23.875,172.125,-0.0016398227
769,-23.875,172.375,-0.0016543434
770,-23.875,172.625,-0.0016434565
771,-23.875,172.875,-0.0016456974
772,-23.875,173.125,-0.0016484704
773,-23.875,173.375,-0.0016476146
774,-23.875,173.625,-0.0016452216
775,-23.875,173.875,-0.0016301387
776,-23.875,174.125,-0.0016439877
777,-23.875,174.375,-0.0016393128
778,-23.875,174.625,-0.0016431087
779,-23.875,174.875,-0.0016455948
780,-23.875,175.125,-0.0016428434
781,-23.875,175.375,-0.0016433283
782,-23.875,175.625,-0.0016365688
783,-23.875,175.875,-0.0016335584
784,-23.875,176.125,-0.0016384205
785,-23.875,176.375,-0.001639531
786,-23.875,176.625,-0.001635366
787,-23.875,176.875,-0.0016265387
788,-23.875,177.125,-0.0016261449
789,-23.875,177.375,-0.0016259402
790,-23.875,177.625,-0.0016281632
791,-23.875,177.875,-0.0016260127
792,-23.875,178.125,-0.0016273311
793,-23.875,178.375,-0.0016400802
794,-23.875,178.625,-0.0016464853
795,-23.875,178.875,-0.001645825
796,-23.875,179.125,-0.0016540423
797,-23.875,179.375,-0.001646774
798,-23.875,179.625,-0.001648262
799,-23.875,179.875,-0.0016313761
800,-23.625,140.125,
801,-23.625,140.375,
802,-23.625,140.625,
803,-23.625,140.875,
804,-23.625,141.125,
805,-23.625,141.375,
806,-23.625,141.625,
807,-23.625,141.875,
808,-23.625,142.125,
809,-23.625,142.375,
810,-23.625,142.625,
811,-23.625,142.875,
812,-23.625,143.125,
813,-23.625,143.375,
814,-23.625,143.625,
815,-23.625,143.875,
816,-23.625,144.125,
817,-23.625,144.375,
818,-23.625,144.625,
819,-23.625,144.875,
820,-23.625,145.125,
821,-23.625,145.375,
822,-23.625,145.625,
823,-23.625,145.875,
824,-23.625,146.125,
825,-23.625,146.375,
826,-23.625,146.625,
827,-23.625,146.875,
828,-23.625,147.125,
829,-23.625,147.375,
830,-23.625,147.625,
831,-23.625,147.875,
832,-23.625,148.125,
833,-23.625,148.375,
834,-23.625,148.625,
835,-23.625,148.875,
836,-23.625,149.125,
837,-23.625,149.375,
838,-23.625,149.625,
839,-23.625,149.875,
840,-23.625,150.125,
841,-23.625,150.375,
842,-23.625,150.625,
843,-23.625,150.875,
844,-23.625,151.125,
