STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,FREQ,Frequency,GEO_PICT,Pacific Island Countries and territories,INDICATOR,Indicator,SEX,Sex,TIME_PERIOD,Time,OBS_VALUE,Observation value,UNIT_MEASURE,Unit of measure,UNIT_MULT,Unit multiplier,OBS_STATUS,Observation Status,DATA_SOURCE,Data source,OBS_COMMENT,Comment
DATAFLOW,SPC:DF_POP_AGE(1.0),Population structure by age,I,A,Annual,PF,French Polynesia,POPYOUTH,Proportion of youth (15-24),_T,Total,2025,,15,,PERCENT,percent,,,E,Estimated value,,,,
DATAFLOW,SPC:DF_POP_AGE(1.0),Population structure by age,I,A,Annual,PF,French Polynesia,POPYOUTH,Proportion of youth (15-24),_T,Total,2026,,15,,PERCENT,percent,,,F,Forecasted value,,,,
DATAFLOW,SPC:DF_POP_AGE(1.0),Population structure by age,I,A,Annual,PF,French Polynesia,POPYOUTH,Proportion of youth (15-24),_T,Total,2027,,15,,PERCENT,percent,,,F,Forecasted value,,,,
DATAFLOW,SPC:DF_POP_AGE(1.0),Population structure by age,I,A,Annual,PF,French Polynesia,POPYOUTH,Proportion of youth (15-24),_T,Total,2028,,15,,PERCENT,percent,,,F,Forecasted value,,,,
DATAFLOW,SPC:DF_POP_AGE(1.0),Population structure by age,I,A,Annual,PF,French Polynesia,POPYOUTH,Proportion of youth (15-24),_T,Total,2029,,15,,PERCENT,percent,,,F,Forecasted value,,,,
DATAFLOW,SPC:DF_POP_AGE(1.0),Population structure by age,I,A,Annual,PF,French Polynesia,POPYOUTH,Proportion of youth (15-24),_T,Total,2030,,15,,PERCENT,percent,,,F,Forecasted value,,,,
DATAFLOW,SPC:DF_POP_AGE(1.0),Population structure by age,I,A,Annual,PF,French Polynesia,POPYOUTH,Proportion of youth (15-24),_T,Total,2031,,14,,PERCENT,percent,,,F,Forecasted value,,,,
DATAFLOW,SPC:DF_POP_AGE(1.0),Population structure by age,I,A,Annual,PF,French Polynesia,POPYOUTH,Proportion of youth (15-24),_T,Total,2032,,14,,PERCENT,percent,,,F,Forecasted value,,,,
DATAFLOW,SPC:DF_POP_AGE(1.0),Population structure by age,I,A,Annual,PF,French Polynesia,POPYOUTH,Proportion of youth (15-24),_T,Total,2033,,14,,PERCENT,percent,,,F,Forecasted value,,,,
DATAFLOW,SPC:DF_POP_AGE(1.0),Population structure by age,I,A,Annual,PF,French Polynesia,POPYOUTH,Proportion of youth (15-24),_T,Total,2034,,13,,PERCENT,percent,,,F,Forecasted value,,,,
DATAFLOW,SPC:DF_POP_AGE(1.0),Population structure by age,I,A,Annual,PF,French Polynesia,POPYOUTH,Proportion of youth (15-24),_T,Total,2035,,13,,PERCENT,percent,,,F,Forecasted value,,,,
