STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,FREQ,Frequency,INDICATOR,Indicator,GEO_PICT,Pacific Island Countries and territories,SEX,Sex,AGE,Age,URBANIZATION,Urbanization,INCOME,Income,EDUCATION,Education level,OCCUPATION,Occupation,COMPOSITE_BREAKDOWN,Composite breakdown,DISABILITY,Disability,TIME_PERIOD,Time,OBS_VALUE,Observation value,UNIT_MEASURE,Unit of measure,REPORTING_TYPE,Reporting type,NATURE,Nature,DATA_SOURCE,Data source,OBS_STATUS,Observation Status,OBS_COMMENT,Comment
DATAFLOW,SPC:DF_SDG_06(3.0),Sustainable Development Goal 06 - Clean Water and Sanitation,I,A,Annual,SH_H2O_SAFE,6.1.1 Population using safely managed drinking water services,MH,Marshall Islands,_T,Total,_T,All ages,U,Urban,_T,Total,_T,All education levels,_T,All occupations,_Z,Not applicable,_T,No breakdown by disability,2018,,84.9,,PERCENT,percent,G,Global,_X,Not Available,,,,,,
DATAFLOW,SPC:DF_SDG_06(3.0),Sustainable Development Goal 06 - Clean Water and Sanitation,I,A,Annual,SH_H2O_SAFE,6.1.1 Population using safely managed drinking water services,MH,Marshall Islands,_T,Total,_T,All ages,U,Urban,_T,Total,_T,All education levels,_T,All occupations,_Z,Not applicable,_T,No breakdown by disability,2019,,84.79,,PERCENT,percent,G,Global,_X,Not Available,,,,,,
DATAFLOW,SPC:DF_SDG_06(3.0),Sustainable Development Goal 06 - Clean Water and Sanitation,I,A,Annual,SH_H2O_SAFE,6.1.1 Population using safely managed drinking water services,MH,Marshall Islands,_T,Total,_T,All ages,U,Urban,_T,Total,_T,All education levels,_T,All occupations,_Z,Not applicable,_T,No breakdown by disability,2020,,84.68,,PERCENT,percent,G,Global,_X,Not Available,,,,,,
DATAFLOW,SPC:DF_SDG_06(3.0),Sustainable Development Goal 06 - Clean Water and Sanitation,I,A,Annual,SH_H2O_SAFE,6.1.1 Population using safely managed drinking water services,MH,Marshall Islands,_T,Total,_T,All ages,U,Urban,_T,Total,_T,All education levels,_T,All occupations,_Z,Not applicable,_T,No breakdown by disability,2021,,84.58,,PERCENT,percent,G,Global,_X,Not Available,,,,,,
DATAFLOW,SPC:DF_SDG_06(3.0),Sustainable Development Goal 06 - Clean Water and Sanitation,I,A,Annual,SH_H2O_SAFE,6.1.1 Population using safely managed drinking water services,MH,Marshall Islands,_T,Total,_T,All ages,U,Urban,_T,Total,_T,All education levels,_T,All occupations,_Z,Not applicable,_T,No breakdown by disability,2022,,84.47,,PERCENT,percent,G,Global,_X,Not Available,,,,,,
DATAFLOW,SPC:DF_SDG_06(3.0),Sustainable Development Goal 06 - Clean Water and Sanitation,I,A,Annual,SH_H2O_SAFE,6.1.1 Population using safely managed drinking water services,PW,Palau,_T,Total,_T,All ages,_T,National,_T,Total,_T,All education levels,_T,All occupations,_Z,Not applicable,_T,No breakdown by disability,2016,,99.53,,PERCENT,percent,G,Global,_X,Not Available,,,,,,
DATAFLOW,SPC:DF_SDG_06(3.0),Sustainable Development Goal 06 - Clean Water and Sanitation,I,A,Annual,SH_H2O_SAFE,6.1.1 Population using safely managed drinking water services,PW,Palau,_T,Total,_T,All ages,_T,National,_T,Total,_T,All education levels,_T,All occupations,_Z,Not applicable,_T,No breakdown by disability,2017,,99.54,,PERCENT,percent,G,Global,_X,Not Available,,,,,,
DATAFLOW,SPC:DF_SDG_06(3.0),Sustainable Development Goal 06 - Clean Water and Sanitation,I,A,Annual,SH_H2O_SAFE,6.1.1 Population using safely managed drinking water services,PW,Palau,_T,Total,_T,All ages,_T,National,_T,Total,_T,All education levels,_T,All occupations,_Z,Not applicable,_T,No breakdown by disability,2018,,99.54,,PERCENT,percent,G,Global,_X,Not Available,,,,,,
DATAFLOW,SPC:DF_SDG_06(3.0),Sustainable Development Goal 06 - Clean Water and Sanitation,I,A,Annual,SH_H2O_SAFE,6.1.1 Population using safely managed drinking water services,PW,Palau,_T,Total,_T,All ages,_T,National,_T,Total,_T,All education levels,_T,All occupations,_Z,Not applicable,_T,No breakdown by disability,2019,,99.55,,PERCENT,percent,G,Global,_X,Not Available,,,,,,
DATAFLOW,SPC:DF_SDG_06(3.0),Sustainable Development Goal 06 - Clean Water and Sanitation,I,A,Annual,SH_H2O_SAFE,6.1.1 Population using safely managed drinking water services,PW,Palau,_T,Total,_T,All ages,_T,National,_T,Total,_T,All education levels,_T,All occupations,_Z,Not applicable,_T,No breakdown by disability,2020,,99.56,,PERCENT,percent,G,Global,_X,Not Available,,,,,,
DATAFLOW,SPC:DF_SDG_06(3.0),Sustainable Development Goal 06 - Clean Water and Sanitation,I,A,Annual,SH_H2O_SAFE,6.1.1 Population using safely managed drinking water services,PW,Palau,_T,Total,_T,All ages,_T,National,_T,Total,_T,All education levels,_T,All occupations,_Z,Not applicable,_T,No breakdown by disability,2021,,99.56,,PERCENT,percent,G,Global,_X,Not Available,,,,,,
